"","ImageNumber","avg_Intensity"
"1",1,0.647999576012224
"2",2,0.654382277224131
"3",3,0.681653318350657
"4",4,0.653416779646274
"5",5,0.621226472425825
"6",6,0.680658526843505
"7",7,0.63539486444011
"8",8,0.615576354927723
"9",9,0.633366595065013
"10",10,0.721351273934979
"11",11,0.712407798941675
"12",12,0.700403645047426
"13",13,0.649579486464239
"14",14,0.723882121187163
"15",15,0.714563723170643
"16",16,0.666751548854662
"17",17,0.750218704268775
"18",18,0.67774589173978
"19",19,0.722811697590567
"20",20,0.663800029463089
"21",21,0.682573828918476
"22",22,0.693149450010413
"23",23,0.598820931720712
"24",24,0.734576966264628
"25",25,0.625012911180229
